,model_name,accuracy,recall,precision,f1,type
0,LogisticRegression,0.8706705225637232,0.8522853957636566,0.8763433156612696,0.8641469445425645,train
1,DecisionTreeClassifier,0.9822113121258996,0.9868311036789298,0.9765565745018272,0.98166695546699,train
2,RandomForestClassifier,0.9821776851166856,0.9885033444816054,0.9749175371083012,0.9816634375864932,train
3,SVC_linear,0.8833142780281121,0.8820373467112598,0.8769049598226656,0.8794636654161456,train
4,MultinomialNB,0.8427264779070549,0.820303790412486,0.8487491889553745,0.8342840945328278,train
5,GaussianNB,0.7787679063824063,0.9108835005574136,0.7115332281064606,0.798961038961039,train
6,BernoulliNB,0.8352612818615912,0.8586259754738016,0.8110972158230764,0.8341851413098663,train
7,LogisticRegression,0.852805021577089,0.8341366129300316,0.8511107342716635,0.8425381903642774,test
8,DecisionTreeClassifier,0.9035700274617496,0.9110852584344358,0.8876295336787565,0.8992044615763143,test
9,RandomForestClassifier,0.9360533542565712,0.9376765830147914,0.9276553765208811,0.932639061079428,test
10,SVC_linear,0.8606512357787368,0.8582350008309789,0.8483653688187941,0.8532716457369465,test
11,MultinomialNB,0.8280894468418988,0.7985707163038059,0.8307399723374828,0.814337767985764,test
12,GaussianNB,0.7529227147901137,0.886654478976234,0.6837990258907972,0.7721253346841306,test
13,BernoulliNB,0.823695566888976,0.8452717300980556,0.7944392377382068,0.819067557774378,test
14,KNeighborsClassifier,0.9544017755060864,0.9480908584169454,0.9570263046842032,0.952537626881344,train
15,KNeighborsClassifier,0.9085131424087878,0.8743559913578195,0.9277023452653852,0.9002395619438741,test
